family,recordId,field,hasValue,stageReady
advocates_legal,california|advocates_legal|disability-rights-legal-help|disability_rights_intake_and_referrals|7ecb7bdcc08d22d3f7aca9494aff7476879235194ca45b26372a80c4e1cf32b7,supportingText,1,1
advocates_legal,california|advocates_legal|disability-rights-legal-help|disability_rights_intake_and_referrals|7ecb7bdcc08d22d3f7aca9494aff7476879235194ca45b26372a80c4e1cf32b7,supportingPageLocation,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,authority,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,agency,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,provenanceUrl,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,sourceRole,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,sourceUrl,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,finalUrl,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,artifactPath,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,sha256,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,fetchedAt,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,supportingText,1,1
dd_routing,california|dd_routing|developmental-services|service_index|40bb80d644233888e75e393a8b0af5b1172dc045cd37b37745f517dc1ce924c1,supportingPageLocation,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,authority,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,agency,1,1
