Found 2244 usages of dead/stale URLs:
Table: county_offices            | Column: website      | ID: off-citrus-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-glades-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-jefferson-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-hamilton-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-lafayette-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-dixie-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-gilchrist-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-levy-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-union-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-franklin-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-wakulla-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-liberty-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: website      | ID: off-florida-dcf-call-center | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-alachua-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-brevard-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-broward-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-baker-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-clay-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-duval-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-nassau-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-st-johns-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-hillsborough-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-lee-fl-fl-medicaid    | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-leon-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-miami-dade-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-orange-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-palm-beach-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-pasco-fl-fl-medicaid  | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-pinellas-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
