id,stateId,targetTable,gapFamily,sourceName,sourceUrl,domain,ledgerStatus,crawlMethod,priority,trustedMissingRows,sourceFamily,whyNeeded
nonprofit_link_registry-kentucky-nonprofit-organizations-https-thearc-org-chapter-kentucky,kentucky,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/kentucky,thearc.org,ready_lightweight,static_fetch,3238,119,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-missouri-nonprofit-organizations-https-thearc-org-chapter-missouri,missouri,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/missouri,thearc.org,ready_lightweight,static_fetch,3230,115,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-missouri-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-the-ozarks,missouri,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-the-ozarks,thearc.org,ready_lightweight,static_fetch,3230,115,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-missouri-nonprofit-organizations-http-www-moadvocacy-org,missouri,nonprofit_organizations,nonprofit_support,moadvocacy.org,http://www.moadvocacy.org/,moadvocacy.org,ready_js_heavy,playwright,2630,115,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-missouri-nonprofit-organizations-https-ptimpact-org,missouri,nonprofit_organizations,nonprofit_support,ptimpact.org,https://ptimpact.org/,ptimpact.org,ready_js_heavy,playwright,2630,115,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-missouri-nonprofit-organizations-https-thearcofmo-org,missouri,nonprofit_organizations,nonprofit_support,thearcofmo.org,https://thearcofmo.org/,thearcofmo.org,ready_js_heavy,playwright,2630,115,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-texas-nonprofit-organizations-https-legalaidtx-org,texas,nonprofit_organizations,nonprofit_support,legalaidtx.org,https://legalaidtx.org/,legalaidtx.org,ready_js_heavy,playwright,2628,114,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-kansas-nonprofit-organizations-https-thearc-org-chapter-tarc,kansas,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/tarc,thearc.org,ready_lightweight,static_fetch,3210,105,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-kansas-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-central-plains,kansas,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-central-plains,thearc.org,ready_lightweight,static_fetch,3210,105,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-kansas-nonprofit-organizations-http-drckansas-org,kansas,nonprofit_organizations,nonprofit_support,drckansas.org,http://drckansas.org/,drckansas.org,ready_js_heavy,playwright,2610,105,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-kansas-nonprofit-organizations-https-familiestogetherinc-org,kansas,nonprofit_organizations,nonprofit_support,familiestogetherinc.org,https://familiestogetherinc.org/,familiestogetherinc.org,ready_js_heavy,playwright,2610,105,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-kansas-nonprofit-organizations-https-thearcofkansas-org,kansas,nonprofit_organizations,nonprofit_support,thearcofkansas.org,https://thearcofkansas.org/,thearcofkansas.org,ready_js_heavy,playwright,2610,105,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-kansas-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-solomon-valley,kansas,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-solomon-valley,thearc.org,ready_lightweight,static_fetch,3206,103,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-illinois-nonprofit-organizations-https-thearc-org-chapter-blue-island-citizens-for-dd,illinois,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/blue-island-citizens-for-dd,thearc.org,ready_lightweight,static_fetch,3204,102,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-illinois-nonprofit-organizations-https-thearc-org-chapter-gateway-services-inc,illinois,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/gateway-services-inc,thearc.org,ready_lightweight,static_fetch,3204,102,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-illinois-nonprofit-organizations-https-thearc-org-chapter-larc,illinois,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/larc,thearc.org,ready_lightweight,static_fetch,3204,102,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-illinois-nonprofit-organizations-https-thearc-org-chapter-sertoma-star-services,illinois,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/sertoma-star-services,thearc.org,ready_lightweight,static_fetch,3204,102,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-illinois-nonprofit-organizations-https-thearc-org-chapter-ucp-seguin-of-greater-chicago,illinois,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/ucp-seguin-of-greater-chicago,thearc.org,ready_lightweight,static_fetch,3204,102,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-illinois-nonprofit-organizations-https-thearc-org-chapter-ups-for-downs,illinois,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/ups-for-downs,thearc.org,ready_lightweight,static_fetch,3204,102,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-illinois-nonprofit-organizations-http-www-autismsocietysi-org,illinois,nonprofit_organizations,nonprofit_support,autismsocietysi.org,http://www.autismsocietysi.org/,autismsocietysi.org,ready_js_heavy,playwright,2604,102,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-north-carolina-nonprofit-organizations-https-thearc-org-chapter-the-arc-greensboro-inc,north-carolina,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-greensboro-inc,thearc.org,ready_lightweight,static_fetch,3200,100,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-north-carolina-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-high-point,north-carolina,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-high-point,thearc.org,ready_lightweight,static_fetch,3200,100,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-north-carolina-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-the-triangle,north-carolina,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-the-triangle,thearc.org,ready_lightweight,static_fetch,3200,100,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-north-carolina-nonprofit-organizations-http-cap-state-nc-us,north-carolina,nonprofit_organizations,nonprofit_support,cap.state.nc.us,http://cap.state.nc.us/,cap.state.nc.us,ready_js_heavy,playwright,2600,100,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-north-carolina-nonprofit-organizations-http-www-autismsociety-nc-org,north-carolina,nonprofit_organizations,nonprofit_support,autismsociety-nc.org,http://www.autismsociety-nc.org/,autismsociety-nc.org,ready_js_heavy,playwright,2600,100,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-north-carolina-nonprofit-organizations-https-arcnc-org,north-carolina,nonprofit_organizations,nonprofit_support,arcnc.org,https://arcnc.org/,arcnc.org,ready_js_heavy,playwright,2600,100,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-north-carolina-nonprofit-organizations-https-ecac-parentcenter-org,north-carolina,nonprofit_organizations,nonprofit_support,ecac-parentcenter.org,https://ecac-parentcenter.org/,ecac-parentcenter.org,ready_js_heavy,playwright,2600,100,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-iowa-nonprofit-organizations-https-askresource-org,iowa,nonprofit_organizations,nonprofit_support,askresource.org,https://askresource.org/,askresource.org,ready_js_heavy,playwright,2598,99,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-iowa-nonprofit-organizations-https-autismia-com,iowa,nonprofit_organizations,nonprofit_support,autismia.com,https://autismia.com/,autismia.com,ready_js_heavy,playwright,2598,99,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-iowa-nonprofit-organizations-https-humanrights-iowa-gov-cas-pd-client-assistance-program,iowa,nonprofit_organizations,nonprofit_support,humanrights.iowa.gov,https://humanrights.iowa.gov/cas/pd/client-assistance-program,humanrights.iowa.gov,ready_js_heavy,playwright,2598,99,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-iowa-nonprofit-organizations-https-thearcofiowa-org,iowa,nonprofit_organizations,nonprofit_support,thearcofiowa.org,https://thearcofiowa.org/,thearcofiowa.org,ready_js_heavy,playwright,2598,99,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-tennessee-nonprofit-organizations-https-thearc-org-chapter-buffalo-river-services-inc,tennessee,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/buffalo-river-services-inc,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearc-org-chapter-the-arc-eastern-shore,virginia,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-eastern-shore,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-greater-williamsburg,virginia,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-greater-williamsburg,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-tennessee-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-mid-south,tennessee,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-mid-south,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-new-river-valley,virginia,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-new-river-valley,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-north-central-virginia,virginia,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-north-central-virginia,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-southside,virginia,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-southside,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-tennessee-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-the-great-smokies,tennessee,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-the-great-smokies,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-the-piedmont,virginia,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-the-piedmont,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearc-org-chapter-versability-resources-inc,virginia,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/versability-resources-inc,thearc.org,ready_lightweight,static_fetch,3190,95,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-tennessee-nonprofit-organizations-http-www-asaetc-org,tennessee,nonprofit_organizations,nonprofit_support,asaetc.org,http://www.asaetc.org/,asaetc.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-peatc-org,virginia,nonprofit_organizations,nonprofit_support,peatc.org,https://peatc.org/,peatc.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-thearcofva-org,virginia,nonprofit_organizations,nonprofit_support,thearcofva.org,https://thearcofva.org/,thearcofva.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-tennessee-nonprofit-organizations-https-thearctn-org,tennessee,nonprofit_organizations,nonprofit_support,thearctn.org,https://thearctn.org/,thearctn.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-tennessee-nonprofit-organizations-https-tnstep-org,tennessee,nonprofit_organizations,nonprofit_support,tnstep.org,https://tnstep.org/,tnstep.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-tennessee-nonprofit-organizations-https-www-disabilityrightstn-org,tennessee,nonprofit_organizations,nonprofit_support,disabilityrightstn.org,https://www.disabilityrightstn.org/,disabilityrightstn.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-www-dlcv-org,virginia,nonprofit_organizations,nonprofit_support,dlcv.org,https://www.dlcv.org/,dlcv.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-virginia-nonprofit-organizations-https-www-tidewaterasa-org,virginia,nonprofit_organizations,nonprofit_support,tidewaterasa.org,https://www.tidewaterasa.org/,tidewaterasa.org,ready_js_heavy,playwright,2590,95,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-nebraska-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-central-nebraska,nebraska,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-central-nebraska,thearc.org,ready_lightweight,static_fetch,3186,93,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-nebraska-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-norfolk,nebraska,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-norfolk,thearc.org,ready_lightweight,static_fetch,3186,93,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-nebraska-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-omaha-at-the-ollie-webb-center,nebraska,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-omaha-at-the-ollie-webb-center,thearc.org,ready_lightweight,static_fetch,3186,93,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-nebraska-nonprofit-organizations-http-www-autismnebraska-org,nebraska,nonprofit_organizations,nonprofit_support,autismnebraska.org,http://www.autismnebraska.org/,autismnebraska.org,ready_js_heavy,playwright,2586,93,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-nebraska-nonprofit-organizations-http-www-cap-nebraska-gov,nebraska,nonprofit_organizations,nonprofit_support,cap.nebraska.gov,http://www.cap.nebraska.gov/,cap.nebraska.gov,ready_js_heavy,playwright,2586,93,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-nebraska-nonprofit-organizations-https-arc-nebraska-org,nebraska,nonprofit_organizations,nonprofit_support,arc-nebraska.org,https://arc-nebraska.org/,arc-nebraska.org,ready_js_heavy,playwright,2586,93,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-nebraska-nonprofit-organizations-https-pti-nebraska-org,nebraska,nonprofit_organizations,nonprofit_support,pti-nebraska.org,https://pti-nebraska.org/,pti-nebraska.org,ready_js_heavy,playwright,2586,93,nonprofit,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-achieva-resources-corporation-inc,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/achieva-resources-corporation-inc,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-adec-inc,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/adec-inc,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-hillcroft-services-inc,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/hillcroft-services-inc,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-hopewell-center,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/hopewell-center,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-new-horizons-the-arc-of-southeast-indiana,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/new-horizons-the-arc-of-southeast-indiana,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-peak-community-services-inc,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/peak-community-services-inc,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-evansville,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-evansville,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-hendericks-county-sycamore-services,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-hendericks-county-sycamore-services,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-the-arc-of-southwest-indiana,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-arc-of-southwest-indiana,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-https-thearc-org-chapter-the-hoosier-prairie-arc,indiana,nonprofit_organizations,nonprofit_support,thearc.org,https://thearc.org/chapter/the-hoosier-prairie-arc,thearc.org,ready_lightweight,static_fetch,3184,92,arc_network,Needed to deepen local nonprofit help coverage.
nonprofit_link_registry-indiana-nonprofit-organizations-http-www-autismsocietyofindiana-org,indiana,nonprofit_organizations,nonprofit_support,autismsocietyofindiana.org,http://www.autismsocietyofindiana.org/,autismsocietyofindiana.org,ready_js_heavy,playwright,2584,92,nonprofit,Needed to deepen local nonprofit help coverage.
